Year,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2020,1 North West Metro, Banyule,"6,939","5,242.0"
2020,1 North West Metro, Brimbank,"15,654","7,447.2"
2020,1 North West Metro, Darebin,"11,703","7,058.5"
2020,1 North West Metro, Hobsons Bay,"4,747","4,814.6"
2020,1 North West Metro, Hume,"15,663","6,487.9"
2020,1 North West Metro, Maribyrnong,"7,317","7,650.0"
2020,1 North West Metro, Melbourne,"26,405","14,082.7"
2020,1 North West Metro, Melton,"9,615","5,590.4"
2020,1 North West Metro, Moonee Valley,"6,646","5,033.2"
2020,1 North West Metro, Moreland,"11,058","5,859.9"
2020,1 North West Metro, Nillumbik,"1,630","2,501.0"
2020,1 North West Metro, Whittlesea,"12,091","5,102.4"
2020,1 North West Metro, Wyndham,"13,763","4,855.2"
2020,1 North West Metro, Yarra,"11,466","11,116.3"
2020,1 North West Metro,Total,"154,697","6,688.1"
2020,2 Eastern, Alpine,440,"3,421.9"
2020,2 Eastern, Bass Coast,"1,859","5,015.0"
2020,2 Eastern, Baw Baw,"3,608","6,599.4"
2020,2 Eastern, Benalla,952,"6,765.0"
2020,2 Eastern, Boroondara,"6,776","3,674.3"
2020,2 Eastern, East Gippsland,"3,679","7,699.1"
2020,2 Eastern, Greater Shepparton,"6,345","9,488.4"
2020,2 Eastern, Indigo,444,"2,637.6"
2020,2 Eastern, Knox,"9,074","5,490.5"
2020,2 Eastern, Latrobe,"10,089","13,290.6"
2020,2 Eastern, Manningham,"3,586","2,786.9"
2020,2 Eastern, Mansfield,324,"3,486.3"
2020,2 Eastern, Maroondah,"5,876","4,909.2"
2020,2 Eastern, Mitchell,"3,183","6,641.3"
2020,2 Eastern, Moira,"1,767","5,888.2"
2020,2 Eastern, Monash,"9,538","4,686.1"
2020,2 Eastern, Murrindindi,633,"4,297.5"
2020,2 Eastern, South Gippsland,"1,289","4,279.5"
2020,2 Eastern, Strathbogie,430,"3,952.1"
2020,2 Eastern, Towong,156,"2,578.4"
2020,2 Eastern, Wangaratta,"1,797","6,120.7"
2020,2 Eastern, Wellington,"3,320","7,445.1"
2020,2 Eastern, Whitehorse,"7,406","4,117.6"
2020,2 Eastern, Wodonga,"2,830","6,589.5"
2020,2 Eastern, Yarra Ranges,"6,171","3,847.1"
2020,2 Eastern,Total,"91,572","5,281.5"
2020,3 Southern Metro, Bayside,"4,067","3,776.1"
2020,3 Southern Metro, Cardinia,"5,458","4,657.9"
2020,3 Southern Metro, Casey,"17,424","4,771.1"
2020,3 Southern Metro, Frankston,"11,282","7,848.2"
2020,3 Southern Metro, Glen Eira,"6,317","4,013.5"
2020,3 Southern Metro, Greater Dandenong,"14,589","8,582.7"
2020,3 Southern Metro, Kingston,"8,930","5,347.3"
2020,3 Southern Metro, Mornington Peninsula,"8,732","5,162.4"
2020,3 Southern Metro, Port Phillip,"9,912","8,419.9"
2020,3 Southern Metro, Stonnington,"9,369","7,879.1"
2020,3 Southern Metro,Total,"96,080","5,880.1"
2020,4 Western, Ararat,"1,005","8,472.6"
2020,4 Western, Ballarat,"8,487","7,613.5"
2020,4 Western, Buloke,281,"4,618.6"
2020,4 Western, Campaspe,"2,658","7,062.3"
2020,4 Western, Central Goldfields,863,"6,524.7"
2020,4 Western, Colac-Otway,"1,385","6,414.6"
2020,4 Western, Corangamite,576,"3,617.7"
2020,4 Western, Gannawarra,592,"5,663.8"
2020,4 Western, Glenelg,"1,149","5,852.7"
2020,4 Western, Golden Plains,470,"1,939.1"
2020,4 Western, Greater Bendigo,"8,282","6,902.3"
2020,4 Western, Greater Geelong,"17,145","6,475.6"
2020,4 Western, Hepburn,699,"4,350.8"
2020,4 Western, Hindmarsh,256,"4,628.3"
2020,4 Western, Horsham,"1,465","7,350.5"
2020,4 Western, Loddon,366,"4,886.2"
2020,4 Western, Macedon Ranges,"1,739","3,407.3"
2020,4 Western, Mildura,"5,526","9,866.5"
2020,4 Western, Moorabool,"1,714","4,764.3"
2020,4 Western, Mount Alexander,849,"4,262.7"
2020,4 Western, Moyne,502,"2,945.2"
2020,4 Western, Northern Grampians,778,"6,868.1"
2020,4 Western, Pyrenees,363,"4,853.4"
2020,4 Western, Queenscliffe,99,"3,352.2"
2020,4 Western, Southern Grampians,892,"5,547.1"
2020,4 Western, Surf Coast,"1,058","3,086.0"
2020,4 Western, Swan Hill,"1,760","8,549.8"
2020,4 Western, Warrnambool,"2,404","6,794.0"
2020,4 Western, West Wimmera,135,"3,552.3"
2020,4 Western, Yarriambiack,361,"5,479.0"
2020,4 Western,Total,"63,859","6,234.1"
