Year,Year ending,Police Region,Local Government Area,Victim Reports,"Rate per 100,000 population"
2020,June,1 North West Metro,Banyule,3749,"2,832.20"
2020,June,1 North West Metro,Brimbank,8186,"3,894.40"
2020,June,1 North West Metro,Darebin,7193,"4,338.30"
2020,June,1 North West Metro,Hobsons Bay,2611,"2,648.20"
2020,June,1 North West Metro,Hume,8624,"3,572.20"
2020,June,1 North West Metro,Maribyrnong,4528,"4,734.10"
2020,June,1 North West Metro,Melbourne,13638,"7,273.60"
2020,June,1 North West Metro,Melton,5067,"2,946.10"
2020,June,1 North West Metro,Moonee Valley,4032,"3,053.50"
2020,June,1 North West Metro,Moreland,7348,"3,893.90"
2020,June,1 North West Metro,Nillumbik,918,"1,408.50"
2020,June,1 North West Metro,Whittlesea,6659,"2,810.10"
2020,June,1 North West Metro,Wyndham,7374,"2,601.30"
2020,June,1 North West Metro,Yarra,6779,"6,572.30"
2020,June,2 Eastern,Alpine,229,"1,781.00"
2020,June,2 Eastern,Bass Coast,1041,"2,808.30"
2020,June,2 Eastern,Baw Baw,1877,"3,433.20"
2020,June,2 Eastern,Benalla,501,"3,560.10"
2020,June,2 Eastern,Boroondara,4765,"2,583.80"
2020,June,2 Eastern,East Gippsland,2000,"4,185.40"
2020,June,2 Eastern,Greater Shepparton,3261,"4,876.50"
2020,June,2 Eastern,Indigo,255,"1,514.90"
2020,June,2 Eastern,Knox,5146,"3,113.70"
2020,June,2 Eastern,Latrobe,5055,"6,659.20"
2020,June,2 Eastern,Manningham,2340,"1,818.60"
2020,June,2 Eastern,Mansfield,162,"1,743.10"
2020,June,2 Eastern,Maroondah,3027,"2,528.90"
2020,June,2 Eastern,Mitchell,1622,"3,384.30"
2020,June,2 Eastern,Moira,930,"3,099.00"
2020,June,2 Eastern,Monash,6031,"2,963.10"
2020,June,2 Eastern,Murrindindi,380,"2,579.90"
2020,June,2 Eastern,South Gippsland,641,"2,128.10"
2020,June,2 Eastern,Strathbogie,254,"2,334.50"
2020,June,2 Eastern,Towong,94,"1,553.60"
2020,June,2 Eastern,Wangaratta,846,"2,881.50"
2020,June,2 Eastern,Wellington,1836,"4,117.20"
2020,June,2 Eastern,Whitehorse,4702,"2,614.20"
2020,June,2 Eastern,Wodonga,1461,"3,401.90"
2020,June,2 Eastern,Yarra Ranges,3389,"2,112.80"
2020,June,3 Southern Metro,Bayside,2788,"2,588.60"
2020,June,3 Southern Metro,Cardinia,2907,"2,480.90"
2020,June,3 Southern Metro,Casey,10312,"2,823.70"
2020,June,3 Southern Metro,Frankston,5809,"4,041.00"
2020,June,3 Southern Metro,Glen Eira,4306,"2,735.80"
2020,June,3 Southern Metro,Greater Dandenong,7747,"4,557.50"
2020,June,3 Southern Metro,Kingston,5014,"3,002.40"
2020,June,3 Southern Metro,Mornington Peninsula,4974,"2,940.70"
2020,June,3 Southern Metro,Port Phillip,6409,"5,444.20"
2020,June,3 Southern Metro,Stonnington,5850,"4,919.70"
2020,June,4 Western,Ararat,506,"4,265.80"
2020,June,4 Western,Ballarat,4972,"4,460.30"
2020,June,4 Western,Buloke,164,"2,695.60"
2020,June,4 Western,Campaspe,1305,"3,467.40"
2020,June,4 Western,Central Goldfields,453,"3,424.90"
2020,June,4 Western,Colac-Otway,661,"3,061.40"
2020,June,4 Western,Corangamite,304,"1,909.40"
2020,June,4 Western,Gannawarra,259,"2,477.90"
2020,June,4 Western,Glenelg,577,"2,939.10"
2020,June,4 Western,Golden Plains,309,"1,274.80"
2020,June,4 Western,Greater Bendigo,4275,"3,562.80"
2020,June,4 Western,Greater Geelong,9546,"3,605.50"
2020,June,4 Western,Hepburn,437,"2,720.00"
2020,June,4 Western,Hindmarsh,153,"2,766.20"
2020,June,4 Western,Horsham,711,"3,567.40"
2020,June,4 Western,Loddon,218,"2,910.40"
2020,June,4 Western,Macedon Ranges,886,"1,736.00"
2020,June,4 Western,Mildura,3069,"5,479.60"
2020,June,4 Western,Moorabool,945,"2,626.70"
2020,June,4 Western,Mount Alexander,405,"2,033.40"
2020,June,4 Western,Moyne,303,"1,777.70"
2020,June,4 Western,Northern Grampians,387,"3,416.40"
2020,June,4 Western,Pyrenees,238,"3,182.10"
2020,June,4 Western,Queenscliffe,65,"2,200.90"
2020,June,4 Western,Southern Grampians,447,"2,779.70"
2020,June,4 Western,Surf Coast,669,"1,951.30"
2020,June,4 Western,Swan Hill,858,"4,168.00"
2020,June,4 Western,Warrnambool,1203,"3,399.80"
2020,June,4 Western,West Wimmera,72,"1,894.50"
2020,June,4 Western,Yarriambiack,252,"3,824.70"
,,,,,
